duration,rtt,proto,tag,rtag,pkt,oct,rpkt,roct,malicious
0.0,0.0,17,0,0,1,229,0,0,False
32.001,0.0,17,0,0,2,314,0,0,False
3.008,0.0,17,0,0,4,804,0,0,False
6.007,0.0,17,0,0,6,996,0,0,False
0.196,0.0,17,0,0,6,1982,0,0,True
0.192,0.0,17,0,0,6,1982,0,0,False
0.197,0.0,17,0,0,6,1988,0,0,False
0.036,0.0,2,0,0,2,64,0,0,False
0.1,0.0,17,0,0,2,148,0,0,False
0.1,0.0,17,0,0,2,108,0,0,False
0.192,0.0,17,0,0,6,1988,0,0,False
9.016,0.0,6,0,0,3,152,0,0,False
9.007,0.0,6,0,0,3,152,0,0,False
9.001,0.0,6,0,0,3,152,0,0,False
9.012,0.0,6,0,0,3,152,0,0,False
3.007,0.0,17,0,0,4,804,0,0,False
3.0,0.0,17,0,0,3,186,0,0,False
8.001,0.0,17,0,0,3,186,0,0,False
8.999,0.0,6,0,0,3,152,0,0,False
9.003,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
8.998,0.0,6,0,0,3,152,0,0,False
3.016,0.0,17,0,0,4,804,0,0,False
0.001,0.0,1,0,0,9,5184,0,0,False
3.007,0.0,17,0,0,4,804,0,0,False
255.503,0.0,2,0,0,3,96,0,0,False
0.001,0.0,1,0,0,8,4608,0,0,False
0.0,0.0,1,0,0,5,2880,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
63.003,0.0,17,0,0,7,1099,0,0,False
0.101,0.0,17,0,0,2,148,0,0,False
0.101,0.0,17,0,0,2,108,0,0,False
8.997,0.0,6,0,0,3,152,0,0,False
8.993,0.0,6,0,0,3,152,0,0,False
8.993,0.0,6,0,0,3,152,0,0,False
8.993,0.0,6,0,0,3,152,0,0,False
8.016,0.0,17,0,0,3,186,0,0,False
7.014,0.0,17,0,0,4,248,0,0,False
8.997,0.0,6,0,0,3,152,0,0,False
9.009,0.0,6,0,0,3,152,0,0,False
8.998,0.0,6,0,0,3,152,0,0,False
9.005,0.0,6,0,0,3,152,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
0.0,0.0,2,0,0,1,32,0,0,False
0.192,0.0,17,0,0,6,1982,0,0,True
0.188,0.0,17,0,0,6,1982,0,0,False
0.195,0.0,17,0,0,6,1988,0,0,False
0.186,0.0,17,0,0,6,1988,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
3.006,0.0,17,0,0,4,804,0,0,False
252.834,0.0,2,0,0,2,64,0,0,False
0.1,0.0,17,0,0,2,148,0,0,False
0.1,0.0,17,0,0,2,108,0,0,False
9.001,0.0,6,0,0,3,152,0,0,False
9.004,0.0,6,0,0,3,152,0,0,False
9.001,0.0,6,0,0,3,152,0,0,False
9.002,0.0,6,0,0,3,152,0,0,False
9.008,0.0,6,0,0,3,152,0,0,False
9.011,0.0,6,0,0,3,152,0,0,False
9.004,0.0,6,0,0,3,152,0,0,False
9.004,0.0,6,0,0,3,152,0,0,False
0.0,0.0,17,0,0,1,229,0,0,False
300.196,0.0,2,0,0,6,192,0,0,False
0.099,0.0,17,0,0,2,148,0,0,False
0.099,0.0,17,0,0,2,108,0,0,False
9.01,0.0,6,0,0,3,152,0,0,False
9.007,0.0,6,0,0,3,152,0,0,False
9.002,0.0,6,0,0,3,152,0,0,False
9.002,0.0,6,0,0,3,152,0,0,False
3.005,0.0,17,0,0,4,804,0,0,False
8.002,0.0,17,0,0,3,186,0,0,False
7.003,0.0,17,0,0,4,248,0,0,False
9.019,0.0,6,0,0,3,152,0,0,False
9.008,0.0,6,0,0,3,152,0,0,False
9.006,0.0,6,0,0,3,152,0,0,False
9.016,0.0,6,0,0,3,152,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
0.001,0.0,1,0,0,8,4608,0,0,False
63.005,0.0,17,0,0,7,1099,0,0,False
3.005,0.0,17,0,0,4,804,0,0,False
126.002,0.0,2,0,0,2,64,0,0,False
0.009,0.0,1,0,0,8,4608,0,0,False
0.0,0.0,1,0,0,5,2880,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
0.206,0.0,17,0,0,6,1982,0,0,True
0.189,0.0,17,0,0,6,1982,0,0,False
0.188,0.0,17,0,0,6,1988,0,0,False
0.022,0.0,2,0,0,2,64,0,0,False
0.1,0.0,17,0,0,2,148,0,0,False
0.1,0.0,17,0,0,2,108,0,0,False
0.193,0.0,17,0,0,6,1988,0,0,False
9.001,0.0,6,0,0,2,100,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
9.002,0.0,6,0,0,3,152,0,0,False
8.994,0.0,6,0,0,3,152,0,0,False
0.0,0.0,2,0,0,1,32,0,0,False
8.003,0.0,17,0,0,3,186,0,0,False
7.005,0.0,17,0,0,4,248,0,0,False
9.014,0.0,6,0,0,3,152,0,0,False
9.008,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
9.011,0.0,6,0,0,3,152,0,0,False
3.021,0.0,17,0,0,4,804,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
0.0,0.0,2,0,0,1,32,0,0,False
3.005,0.0,17,0,0,4,804,0,0,False
6.006,0.0,17,0,0,6,996,0,0,False
63.009,0.0,17,0,0,7,1099,0,0,False
0.0,0.0,2,0,0,1,32,0,0,False
0.101,0.0,17,0,0,2,148,0,0,False
0.102,0.0,17,0,0,2,108,0,0,False
3.003,0.0,6,0,0,2,104,0,0,False
8.993,0.0,6,0,0,3,152,0,0,False
9.001,0.0,6,0,0,3,152,0,0,False
8.998,0.0,6,0,0,3,152,0,0,False
3.001,0.0,17,0,0,4,804,0,0,False
8.992,0.0,6,0,0,3,152,0,0,False
8.001,0.0,17,0,0,3,186,0,0,False
7.001,0.0,17,0,0,4,248,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
8.997,0.0,6,0,0,3,152,0,0,False
8.998,0.0,6,0,0,3,152,0,0,False
8.997,0.0,6,0,0,3,152,0,0,False
8.997,0.0,6,0,0,3,152,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
0.0,0.0,17,0,0,1,229,0,0,False
0.0,0.0,2,0,0,1,32,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
1799.982,0.0,6,0,0,156579,6263160,335428,465090691,False
1799.987,0.0,17,0,0,209101,257037965,0,0,False
1799.991,0.0,17,0,0,209107,257051105,0,0,False
1799.966,0.0,17,0,0,319532,418981732,0,0,False
1799.998,0.0,17,0,0,157822,172439916,0,0,False
0.02,0.0,1,0,0,7,4032,0,0,False
1797.045,0.0,17,0,0,387,30960,0,0,False
1799.911,0.0,1,0,0,1801,512601,0,0,False
1796.838,0.0,17,0,0,383,30640,0,0,False
0.191,0.0,17,0,0,6,1982,0,0,True
1797.225,0.0,17,0,0,388,31040,0,0,False
1798.026,0.0,17,0,0,399,31920,0,0,False
0.189,0.0,17,0,0,6,1982,0,0,False
0.195,0.0,17,0,0,6,1988,0,0,False
1795.71,0.0,17,0,0,138,50508,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
0.189,0.0,17,0,0,6,1988,0,0,False
1796.929,0.0,17,0,0,61,4392,0,0,False
1798.728,0.004,6,0,0,64,6976,32,4192,False
1798.759,0.002,6,0,0,64,5344,32,4192,False
1770.156,0.0,17,0,0,930,327143,0,0,False
0.003,0.0,1,0,0,8,4608,0,0,False
0.099,0.098,6,0,0,1,40,1,40,False
0.0,0.0,1,0,0,5,2880,0,0,False
0.1,0.0,17,0,0,2,148,0,0,False
0.1,0.0,17,0,0,2,108,0,0,False
9.003,0.0,6,0,0,3,152,0,0,False
8.996,0.0,6,0,0,3,152,0,0,False
8.997,0.0,6,0,0,3,152,0,0,False
8.997,0.0,6,0,0,3,152,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
9.006,0.0,6,0,0,3,152,0,0,False
9.004,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
9.005,0.0,6,0,0,3,152,0,0,False
1764.048,0.0,2,0,0,15,420,0,0,False
1766.022,0.0,2,0,0,15,480,0,0,False
1768.519,0.0,2,0,0,38,1216,0,0,False
8.001,0.0,17,0,0,3,186,0,0,False
7.001,0.0,17,0,0,4,248,0,0,False
1501.021,0.0,58,0,0,42,3192,0,0,False
300.206,0.0,2,0,0,6,192,0,0,False
1624.687,0.0,17,0,0,60,9552,0,0,False
1515.774,0.0,17,0,0,48,18192,0,0,False
0.101,0.0,17,0,0,2,148,0,0,False
0.101,0.0,17,0,0,2,108,0,0,False
9.002,0.0,6,0,0,3,152,0,0,False
